__time,/model_pose/x/position,/model_pose/y/position,/model_pose/z/position
1751976387.98895,0.000920169,-0.020355155,0.058903565
1751976387.99095,0.000920169,-0.020355155,0.058903565
1751976387.99297,0.00086499,-0.02035436,0.058847265
1751976387.99499,0.00086499,-0.02035436,0.058847265
1751976387.99692,0.00086499,-0.02035436,0.058847265
1751976387.99893,0.00086499,-0.02035436,0.058847265
1751976388.00095,0.00086499,-0.02035436,0.058847265
1751976388.00297,0.000763422,-0.020483677,0.058729191
1751976388.00495,0.000763422,-0.020483677,0.058729191
1751976388.00695,0.000763422,-0.020483677,0.058729191
1751976388.00898,0.000763422,-0.020483677,0.058729191
1751976388.01099,0.000763422,-0.020483677,0.058729191
1751976388.01296,0.000789734,-0.020518338,0.058753183
1751976388.01494,0.000789734,-0.020518338,0.058753183
1751976388.01696,0.000789734,-0.020518338,0.058753183
1751976388.01898,0.000789734,-0.020518338,0.058753183
1751976388.02096,0.000789734,-0.020518338,0.058753183
1751976388.023,0.000789734,-0.020518338,0.058753183
1751976388.02492,0.00067373,-0.020608443,0.058680288
1751976388.02695,0.00067373,-0.020608443,0.058680288
1751976388.02903,0.00067373,-0.020608443,0.058680288
1751976388.03097,0.00067373,-0.020608443,0.058680288
1751976388.03295,0.00067373,-0.020608443,0.058680288
1751976388.03489,0.00067373,-0.020608443,0.058680288
1751976388.03697,0.000685093,-0.020683912,0.058676413
1751976388.03894,0.000685093,-0.020683912,0.058676413
1751976388.04092,0.000685093,-0.020683912,0.058676413
1751976388.04296,0.000685093,-0.020683912,0.058676413
1751976388.04496,0.000685093,-0.020683912,0.058676413
1751976388.04694,0.000559836,-0.020775863,0.058614108
1751976388.04895,0.000559836,-0.020775863,0.058614108
1751976388.05087,0.000559836,-0.020775863,0.058614108
1751976388.05294,0.000559836,-0.020775863,0.058614108
1751976388.05494,0.000559836,-0.020775863,0.058614108
1751976388.05698,0.000559836,-0.020775863,0.058614108
1751976388.05898,0.000654304,-0.020882981,0.058659266
1751976388.06096,0.000654304,-0.020882981,0.058659266
1751976388.06295,0.000654304,-0.020882981,0.058659266
1751976388.06497,0.000654304,-0.020882981,0.058659266
1751976388.067,0.000654304,-0.020882981,0.058659266
1751976388.06898,0.000660628,-0.02100024,0.058631524
1751976388.07093,0.000660628,-0.02100024,0.058631524
1751976388.07295,0.000660628,-0.02100024,0.058631524
1751976388.07494,0.000660628,-0.02100024,0.058631524
1751976388.077,0.000660628,-0.02100024,0.058631524
1751976388.07895,0.000589525,-0.021059848,0.058615426
1751976388.08093,0.000589525,-0.021059848,0.058615426
1751976388.08295,0.000589525,-0.021059848,0.058615426
1751976388.08495,0.000589525,-0.021059848,0.058615426
1751976388.08694,0.000589525,-0.021059848,0.058615426
1751976388.08894,0.000589525,-0.021059848,0.058615426
1751976388.09089,0.000687346,-0.021114614,0.058623544
1751976388.09295,0.000687346,-0.021114614,0.058623544
1751976388.09493,0.000687346,-0.021114614,0.058623544
1751976388.09698,0.000687346,-0.021114614,0.058623544
1751976388.09894,0.000687346,-0.021114614,0.058623544
1751976388.10094,0.000687346,-0.021114614,0.058623544
1751976388.10295,0.00056215,-0.021207604,0.058539237
1751976388.10496,0.00056215,-0.021207604,0.058539237
1751976388.10698,0.00056215,-0.021207604,0.058539237
1751976388.10898,0.00056215,-0.021207604,0.058539237
1751976388.11096,0.00056215,-0.021207604,0.058539237
1751976388.11297,0.000589134,-0.021268862,0.058577783
1751976388.11496,0.000589134,-0.021268862,0.058577783
1751976388.11694,0.000589134,-0.021268862,0.058577783
1751976388.11899,0.000589134,-0.021268862,0.058577783
1751976388.12097,0.000589134,-0.021268862,0.058577783
1751976388.12294,0.000478307,-0.021338174,0.058472893
1751976388.12509,0.000478307,-0.021338174,0.058472893
1751976388.12697,0.000478307,-0.021338174,0.058472893
1751976388.12894,0.000478307,-0.021338174,0.058472893
1751976388.131,0.000478307,-0.021338174,0.058472893
1751976388.13299,0.000531377,-0.021451999,0.058529244
1751976388.13493,0.000531377,-0.021451999,0.058529244
1751976388.13695,0.000531377,-0.021451999,0.058529244
1751976388.13889,0.000531377,-0.021451999,0.058529244
1751976388.14095,0.000531377,-0.021451999,0.058529244
1751976388.14296,0.000531377,-0.021451999,0.058529244
1751976388.145,0.000464884,-0.021508457,0.058521454
1751976388.14695,0.000464884,-0.021508457,0.058521454
1751976388.14897,0.000464884,-0.021508457,0.058521454
1751976388.15096,0.000464884,-0.021508457,0.058521454
1751976388.15296,0.000464884,-0.021508457,0.058521454
1751976388.15498,0.000464884,-0.021508457,0.058521454
1751976388.15696,0.000387897,-0.021572972,0.058411622
1751976388.15895,0.000387897,-0.021572972,0.058411622
1751976388.16094,0.000387897,-0.021572972,0.058411622
1751976388.16297,0.000387897,-0.021572972,0.058411622
1751976388.16494,0.000387897,-0.021572972,0.058411622
1751976388.16695,0.000387897,-0.021572972,0.058411622
1751976388.16894,0.00029413,-0.021680931,0.058278386
1751976388.17097,0.00029413,-0.021680931,0.058278386
1751976388.17299,0.00029413,-0.021680931,0.058278386
1751976388.17496,0.00029413,-0.021680931,0.058278386
1751976388.17696,0.00029413,-0.021680931,0.058278386
1751976388.17898,0.000246013,-0.021785582,0.05822591
1751976388.18094,0.000246013,-0.021785582,0.05822591
1751976388.18295,0.000246013,-0.021785582,0.05822591
1751976388.18502,0.000246013,-0.021785582,0.05822591
1751976388.18696,0.000246013,-0.021785582,0.05822591
1751976388.18895,0.000246013,-0.021785582,0.05822591
1751976388.19102,0.000300878,-0.021895356,0.058213936
1751976388.19297,0.000300878,-0.021895356,0.058213936
1751976388.19492,0.000300878,-0.021895356,0.058213936
1751976388.19696,0.000300878,-0.021895356,0.058213936
1751976388.19902,0.000300878,-0.021895356,0.058213936
1751976388.20097,0.000176129,-0.021938645,0.058080422
1751976388.20297,0.000176129,-0.021938645,0.058080422
1751976388.20498,0.000176129,-0.021938645,0.058080422
1751976388.20694,0.000176129,-0.021938645,0.058080422
1751976388.20896,0.000176129,-0.021938645,0.058080422
1751976388.21087,0.000176129,-0.021938645,0.058080422
1751976388.21295,0.000135865,-0.021996894,0.058072699
1751976388.21494,0.000135865,-0.021996894,0.058072699
1751976388.21693,0.000135865,-0.021996894,0.058072699
1751976388.21894,0.000135865,-0.021996894,0.058072699
1751976388.22098,0.000135865,-0.021996894,0.058072699
1751976388.22292,0.000085571,-0.0221336,0.058082481
1751976388.22496,0.000085571,-0.0221336,0.058082481
1751976388.22696,0.000085571,-0.0221336,0.058082481
1751976388.22896,0.000085571,-0.0221336,0.058082481
1751976388.23096,0.000085571,-0.0221336,0.058082481
1751976388.233,0.000163573,-0.022332233,0.058124342
1751976388.23505,0.000163573,-0.022332233,0.058124342
1751976388.23695,0.000163573,-0.022332233,0.058124342
1751976388.23895,0.000163573,-0.022332233,0.058124342
1751976388.24095,0.000163573,-0.022332233,0.058124342
1751976388.24299,0.000163573,-0.022332233,0.058124342
1751976388.24499,0.000109206,-0.022451021,0.05807024
1751976388.24694,0.000109206,-0.022451021,0.05807024
1751976388.24894,0.000109206,-0.022451021,0.05807024
1751976388.25096,0.000109206,-0.022451021,0.05807024
1751976388.25294,0.000109206,-0.022451021,0.05807024
1751976388.25494,0.000109206,-0.022451021,0.05807024
1751976388.25694,0.000043934,-0.022518522,0.057992545
1751976388.25894,0.000043934,-0.022518522,0.057992545
1751976388.2609,0.000043934,-0.022518522,0.057992545
1751976388.26297,0.000043934,-0.022518522,0.057992545
1751976388.26495,0.000043934,-0.022518522,0.057992545
1751976388.26698,0.000043934,-0.022518522,0.057992545
1751976388.26897,0.000109436,-0.022636198,0.058102352
1751976388.27099,0.000109436,-0.022636198,0.058102352
1751976388.27297,0.000109436,-0.022636198,0.058102352
1751976388.27498,0.000109436,-0.022636198,0.058102352
1751976388.27696,0.000109436,-0.022636198,0.058102352
1751976388.279,0.000109436,-0.022636198,0.058102352
1751976388.28098,0.000053383,-0.022729549,0.058050021
1751976388.28297,0.000053383,-0.022729549,0.058050021
1751976388.28493,0.000053383,-0.022729549,0.058050021
1751976388.28695,0.000053383,-0.022729549,0.058050021
1751976388.28894,0.000053383,-0.022729549,0.058050021
1751976388.29095,0.000053383,-0.022729549,0.058050021
1751976388.29299,-0.000009741,-0.022847117,0.057975923
1751976388.29494,-0.000009741,-0.022847117,0.057975923
1751976388.29697,-0.000009741,-0.022847117,0.057975923
1751976388.29895,-0.000009741,-0.022847117,0.057975923
1751976388.30095,-0.000009741,-0.022847117,0.057975923
1751976388.30293,0.000043177,-0.023019036,0.058036536
1751976388.30493,0.000043177,-0.023019036,0.058036536
1751976388.30693,0.000043177,-0.023019036,0.058036536
1751976388.30894,0.000043177,-0.023019036,0.058036536
1751976388.31093,0.000043177,-0.023019036,0.058036536
1751976388.31296,0.000043177,-0.023019036,0.058036536
1751976388.31491,-0.000077919,-0.023240027,0.057908568
1751976388.31696,-0.000077919,-0.023240027,0.057908568
1751976388.31898,-0.000077919,-0.023240027,0.057908568
1751976388.32098,-0.000077919,-0.023240027,0.057908568
1751976388.32298,-0.000077919,-0.023240027,0.057908568
1751976388.32491,-0.00008709,-0.023371017,0.057869725
1751976388.32695,-0.00008709,-0.023371017,0.057869725
1751976388.32896,-0.00008709,-0.023371017,0.057869725
1751976388.33096,-0.00008709,-0.023371017,0.057869725
1751976388.33296,-0.00008709,-0.023371017,0.057869725
1751976388.33494,-0.00008709,-0.023371017,0.057869725
1751976388.33693,-0.000093187,-0.023639222,0.05795135
1751976388.339,-0.000093187,-0.023639222,0.05795135
1751976388.34093,-0.000093187,-0.023639222,0.05795135
1751976388.3429,-0.000093187,-0.023639222,0.05795135
1751976388.34494,-0.000093187,-0.023639222,0.05795135
1751976388.34694,-0.000071488,-0.023823965,0.057859741
1751976388.34895,-0.000071488,-0.023823965,0.057859741
1751976388.35095,-0.000071488,-0.023823965,0.057859741
1751976388.35295,-0.000071488,-0.023823965,0.057859741
1751976388.35495,-0.000071488,-0.023823965,0.057859741
1751976388.35696,-0.000159871,-0.024018183,0.05778151
1751976388.35897,-0.000159871,-0.024018183,0.05778151
1751976388.36105,-0.000159871,-0.024018183,0.05778151
1751976388.36298,-0.000159871,-0.024018183,0.05778151
1751976388.36501,-0.000159871,-0.024018183,0.05778151
1751976388.36691,-0.000156053,-0.024112381,0.057798967
1751976388.36896,-0.000156053,-0.024112381,0.057798967
1751976388.37099,-0.000156053,-0.024112381,0.057798967
1751976388.37297,-0.000156053,-0.024112381,0.057798967
1751976388.37494,-0.000156053,-0.024112381,0.057798967
1751976388.37695,-0.000156053,-0.024112381,0.057798967
1751976388.37894,-0.000212536,-0.024409824,0.057731033
1751976388.38094,-0.000212536,-0.024409824,0.057731033
1751976388.38294,-0.000212536,-0.024409824,0.057731033
1751976388.38494,-0.000212536,-0.024409824,0.057731033
1751976388.38692,-0.000212536,-0.024409824,0.057731033
1751976388.38894,-0.000212536,-0.024409824,0.057731033
1751976388.39094,-0.000232207,-0.024713802,0.057717788
1751976388.39302,-0.000232207,-0.024713802,0.057717788
1751976388.39495,-0.000232207,-0.024713802,0.057717788
1751976388.39693,-0.000232207,-0.024713802,0.057717788
1751976388.39896,-0.000232207,-0.024713802,0.057717788
1751976388.40094,-0.000314167,-0.024916842,0.057639697
1751976388.40294,-0.000314167,-0.024916842,0.057639697
1751976388.40497,-0.000314167,-0.024916842,0.057639697
1751976388.40696,-0.000314167,-0.024916842,0.057639697
1751976388.40894,-0.000314167,-0.024916842,0.057639697
1751976388.41099,-0.000314167,-0.024916842,0.057639697
1751976388.41298,-0.000454138,-0.025213336,0.057447833
1751976388.41493,-0.000454138,-0.025213336,0.057447833
1751976388.41694,-0.000454138,-0.025213336,0.057447833
1751976388.41894,-0.000454138,-0.025213336,0.057447833
1751976388.4209,-0.000454138,-0.025213336,0.057447833
1751976388.42293,-0.000454138,-0.025213336,0.057447833
1751976388.42496,-0.000533264,-0.025594759,0.057367609
1751976388.42699,-0.000533264,-0.025594759,0.057367609
1751976388.42895,-0.000533264,-0.025594759,0.057367609
1751976388.43095,-0.000533264,-0.025594759,0.057367609
1751976388.43294,-0.000533264,-0.025594759,0.057367609
1751976388.43494,-0.000575286,-0.025787581,0.057342666
1751976388.43693,-0.000575286,-0.025787581,0.057342666
1751976388.43893,-0.000575286,-0.025787581,0.057342666
1751976388.44095,-0.000575286,-0.025787581,0.057342666
1751976388.44293,-0.000575286,-0.025787581,0.057342666
1751976388.44493,-0.000575286,-0.025787581,0.057342666
1751976388.44698,-0.000639118,-0.026081375,0.057317339
1751976388.44897,-0.000639118,-0.026081375,0.057317339
1751976388.45095,-0.000639118,-0.026081375,0.057317339
1751976388.45298,-0.000639118,-0.026081375,0.057317339
1751976388.45497,-0.000639118,-0.026081375,0.057317339
1751976388.45696,-0.000723258,-0.026342959,0.057168022
1751976388.45899,-0.000723258,-0.026342959,0.057168022
1751976388.46095,-0.000723258,-0.026342959,0.057168022
1751976388.46296,-0.000723258,-0.026342959,0.057168022
1751976388.46496,-0.000723258,-0.026342959,0.057168022
1751976388.46693,-0.000723258,-0.026342959,0.057168022
1751976388.46895,-0.000834789,-0.026625815,0.057028448
1751976388.47097,-0.000834789,-0.026625815,0.057028448
1751976388.47297,-0.000834789,-0.026625815,0.057028448
1751976388.47494,-0.000834789,-0.026625815,0.057028448
1751976388.47696,-0.000834789,-0.026625815,0.057028448
1751976388.47896,-0.000925921,-0.026930863,0.056953816
1751976388.48098,-0.000925921,-0.026930863,0.056953816
1751976388.48293,-0.000925921,-0.026930863,0.056953816
1751976388.48493,-0.000925921,-0.026930863,0.056953816
1751976388.48705,-0.000925921,-0.026930863,0.056953816
1751976388.48899,-0.001029355,-0.027214093,0.056832016
1751976388.49096,-0.001029355,-0.027214093,0.056832016
