time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,roll_effort,roll_position,roll_velocity
1746523751.75651,20.196,0,60004.421875,0,0,-35.067501068,0,0,-0.426000953,-15
1746523751.76716,20.207,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.77823,20.218,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.78917,20.229,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.80061,20.24,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.8118,20.251,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.82223,20.262,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.83263,20.273,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.84311,20.283,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.85359,20.294,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.86416,20.304,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.87477,20.315,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.8853,20.325,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.89654,20.336,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.90767,20.347,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.91814,20.358,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.92853,20.369,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.93893,20.379,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.9494,20.389,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.96004,20.4,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.97076,20.411,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.98127,20.421,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523751.99202,20.432,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.00313,20.443,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.0137,20.454,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.0243,20.464,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.0348,20.475,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.04519,20.485,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.05559,20.496,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.06704,20.507,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.07754,20.518,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.08807,20.528,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.09861,20.539,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.10919,20.549,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.11982,20.56,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.13034,20.57,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.14095,20.581,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.15159,20.592,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.16286,20.602,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.17433,20.614,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.18505,20.625,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.19548,20.636,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.20648,20.646,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.2171,20.657,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.22795,20.668,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.23834,20.678,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.24875,20.689,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.25976,20.7,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.27027,20.71,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.28076,20.721,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.29262,20.732,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.30328,20.743,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.31413,20.754,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.32524,20.765,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.33598,20.776,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.34697,20.787,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.35744,20.797,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.36805,20.808,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.37907,20.819,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.39063,20.83,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.40174,20.841,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
