time,pitch_effort,pitch_position,pitch_velocity
1747041080.7206,0,-0.798768997,-65.211502075
1747041080.72387,0,-0.798768997,-65.211502075
1747041080.72719,0,-0.798768997,-65.211502075
1747041080.73031,0,-0.798768997,-65.211502075
1747041080.73338,0,-0.785269439,-66.430984497
1747041080.7365,0,-0.785269439,-63.855895996
1747041080.73968,0,-0.771769881,-65.054718018
1747041080.74272,0,-0.758267641,-93.734230042
1747041080.74573,0,-0.677267611,-98.793167114
1747041080.74868,0,-0.609764457,-89.315605164
1747041080.75184,0,-0.609764457,-76.231872559
1747041080.75483,0,-0.623266697,-74.999603271
1747041080.75805,0,-0.623266697,-77.587753296
1747041080.76124,0,-0.596264899,-79.876602173
1747041080.76432,0,-0.582765341,-76.081665039
1747041080.7676,0,-0.582765341,-73.520652771
1747041080.77072,0,-0.569263101,-74.617462158
1747041080.77383,0,-0.569263101,-72.164779663
1747041080.77672,0,-0.569263101,-72.164779663
1747041080.77976,0,-0.555763543,-73.46496582
1747041080.78279,0,-0.555763543,-70.809158325
1747041080.78581,0,-0.542263985,-72.089141846
1747041080.78856,0,-0.528764427,-70.785102844
1747041080.79138,0,-0.528764427,-68.097946167
1747041080.79414,0,-0.528764427,-68.097946167
1747041080.79709,0,-0.528764427,-68.097946167
1747041080.80007,0,-0.528764427,-68.097946167
1747041080.80319,0,-0.528764427,-68.097946167
1747041080.80642,0,-0.515262187,-69.271057129
1747041080.80956,0,-0.501762629,-67.853843689
1747041080.8127,0,-0.501762629,-65.386451721
1747041080.81578,0,-0.488263071,-66.626068115
1747041080.81886,0,-0.47476083,-65.257232666
1747041080.82207,0,-0.461261272,-63.82951355
1747041080.82481,0,-0.447761714,-62.466011047
1747041080.82764,0,-0.447761714,-59.963737488
1747041080.83066,0,-0.434262156,-61.442554474
1747041080.83358,0,-0.434262156,-58.608127594
1747041080.83655,0,-0.420759916,-59.986057281
1747041080.83977,0,-0.407260358,-58.514034271
1747041080.84274,0,-0.407260358,-55.896636963
1747041080.84583,0,-0.407260358,-55.896636963
1747041080.84891,0,-0.38025856,-58.387973785
1747041080.85212,0,-0.353259444,-55.691574097
1747041080.85532,0,-0.366759002,-49.300243378
1747041080.85837,0,-0.353259444,-52.925369263
1747041080.86149,0,-0.353259444,-50.473926544
1747041080.86449,0,-0.353259444,-50.473926544
1747041080.86757,0,-0.353259444,-50.473926544
1747041080.87086,0,-0.353259444,-50.473926544
1747041080.87406,0,-0.353259444,-50.473926544
1747041080.87718,0,-0.339757204,-51.666454315
1747041080.88031,0,-0.326257646,-50.337516785
1747041080.88355,0,-0.326257646,-47.762432098
1747041080.88663,0,-0.326257646,-47.762432098
1747041080.88973,0,-0.312758088,-48.962898254
1747041080.89285,0,-0.312758088,-46.406822205
1747041080.89588,0,-0.312758088,-46.406822205
1747041080.89911,0,-0.312758088,-46.406822205
1747041080.90218,0,-0.312758088,-46.406822205
1747041080.90532,0,-0.312758088,-46.406822205
1747041080.90898,0,-0.312758088,-46.406822205
1747041080.912,0,-0.312758088,-46.406822205
1747041080.91564,0,-0.312758088,-46.406822205
1747041080.91849,0,-0.312758088,-16.406822205
1747041080.9216,0,-0.420759916,-6.455551147
1747041080.92484,0,-0.596264899,-11.048128128
1747041080.92777,0,-0.663765371,-39.278800964
1747041080.9308,0,-0.609764457,-57.054069519
1747041080.9338,0,-0.542263985,-52.632003784
1747041080.93693,0,-0.515262187,-42.086261749
1747041080.93991,0,-0.582765341,-30.631702423
